actors,director,genre,imdb_rating,just_rating,opening_date,runtime,synopsis,title_kor
,,"드라마 ,코미디 ", 6.3 , 62% , 2020 ,1시간 56분,"After discovering that their parents' marriage is on the brink of ending, the Salazar siblings scheme to bring them back together in time for their 20th anniversary in a prequel to ""Four Sisters and a Wedding.""",Four Sisters Before the Wedding
" Nicolas Cage , Emma Stone , Ryan Reynolds , Peter Dinklage , Leslie Mann , Kelly Marie Tran , Catherine Keener , Clark Duke , Randy Thom , Cloris Leachman , Chris Sanders , Tara Strong , Kailey Crawford , James Ryan , Melissa Disney , Ryan Naylor , Artemis Pebdani ", Joel Crawford ,"코미디 ,판타지 ,액션 ,가족 ,애니메이션 ", 7.0 (39k) , 83% , 2020 ,1시간 35분,"동굴을 떠나 새로운 거주지를 찾아 나선 크루즈 패밀리. 우여곡절 끝에 찾은 완벽한 트리 하우스에서 진화된 인류, 베터맨 패밀리와 마주한다. 도구를 사용하고 ‘집’에서 안전하게 살아가는 지능형 베터맨 패밀리와 맨손으로 사냥하고 자연과 함께 살아가는 본능형 크루즈 패밀리는 너무나도 다른 삶의 방식으로 사사건건 부딪힌다. 반면 처음으로 여자 사람친구를 만난 ‘이프’와 ‘던’은 가족들과 달리 우정을 쌓아가지만 점점 두 가족에게 예상치 못한 위협이 닥쳐오는데…",크루즈 패밀리: 뉴 에이지
" Gary Oldman , Amanda Seyfried , Lily Collins , Arliss Howard , Tom Pelphrey , Sam Troughton , Ferdinand Kingsley , Tuppence Middleton , Tom Burke , Joseph Cross , Jamie McShane , Toby Leonard Moore , Monika Gossmann , Charles Dance , Jack Romano , Adam Shapiro , John Churchill , Jeff Harms , Derek Petropolis , Sean Persaud , Paul Fox , Tom Simmons , Nick Job , Colin Ward , Cooper Tomlinson , Julie Collis , Arlo Mertz , Craig Welzbacher , Jessie Cohen , Desiree Louise , Amie Farrell , Ian Boyd , Jay Villwock , Lou George , John Lee Ames , Bill Nye , Richmond Arquette , David Lee Smith , Mario Di Donato , James Patrick Duffy , Flo Lawrence , Sebastian Faure , Randy Davison , Christian Prentice , Leven Rambin , Rick Pasqualone , Eden Wattez , Roslyn Cohn , Mark Fite , John Patrick Jordan , Ben Mankiewicz , Natalie Denise Sperl , Brian Michael Jones , Camille Montgomery , Craig Robert Young , Paul Carafotes , Anne Beyer , Joey Hagler , Sean Donnellan , Stewart Skelton , Malachi Rivers , Keith Barber , Kaytlin Borgen , Madison West , Elvy , Ali Axelrad , Adrienne Evans , Wylie Small , Dana Lyn Baron , Jaclyn Bethany , Cary Christopher , Michelle Twarowska , Kingston Vernes , Jordan Matlock ", David Fincher ,"코미디 ,드라마 ", 6.9 (70k) , 75% , 2020 ,2시간 11분,할리우드는 진정 어떤 곳이었을까. 신랄한 사회 비평가이자 알코올에 중독된 시나리오 작가 허먼 J. 맹키위츠. 그는 오슨 웰스의 시민 케인 시나리오를 마치고자 모든 것을 쏟고 있다. 그런 그의 시선으로 1930년대 할리우드를 새롭게 조명한다.,맹크
" Milla Jovovich , Tony Jaa , Ron Perlman , T.I. , Diego Boneta , Meagan Good , Josh Helman , Jin Au-Yeung , Hirona Yamazaki , Jannik Schümann , Nanda Costa , Nic Rasenti , Clyde Berning , Paul Hampshire , Schelaine Bennett , Bart Fouche , Pope Jerrod , Aaron Beelner , Adrián Muñoz ", Paul W. S. Anderson ,"판타지 ,액션 ", 5.3 (54k) , 70% , 2020 ,1시간 44분,UN합동 보안 작전부 아르테미스 대위(밀라 요보비치)는 행방불명된 팀원들을 찾기 위해 나서지만 실종된 그들과 같은 이상 현상으로 거대 몬스터의 세계로 빠진다. 하지만 눈앞에 닥친 강력한 몬스터들의 습격으로 유일한 생존자가 된 그녀는 몬스터 헌터(토니 자)와 마주하게 되는데… 다시 인류의 세계로 돌아갈 수 있는 방법은 단 하나. 몬스터와 맞서 반드시 살아남아야 한다!,몬스터 헌터
" Ra Mi-ran , Kim Moo-yul , Na Moon-hee , Yoon Kyung-ho , Song Young-chang , On Ju-wan , Jo Han-chul , Son Jong-hak , Cho Soo-hyang , Yoon Se-ah , Kim Yong-rim , Jang Dong-ju , Go Gyu-pil , Oh Man-seok , Hwang Yeon-hui , Park Sung-joon , Kang Sook , Park Jung-pyo , Lee Dong-hee ", Jang Yoo-jung ,코미디 , 76% , 76% , 2020 ,1시간 44분,"국민들 앞에서는 서민의 일꾼을 자처하는 둘도 없이 청렴하고 믿음직한 국회의원처럼 보이지만, 실상은 서민을 자신의 일꾼으로 여기며 4선 당선을 위해서라면 거짓말을 옵션이 아닌 필수로 여기는, 거짓말이 제일 쉬운 국회의원 주상숙에게 청천벽력이 떨어진다. 선거를 앞둔 어느 날 하루아침에 거짓말은 1도 할 수 없는 진실의 주둥이를 갖게 된 것. 최고의 무기인 거짓말을 잃자 그녀의 인생은 송두리째 흔들리게 되는데…",정직한 후보
" Laurent Lafitte , Karin Viard , Hélène Vincent , Vincent Macaigne , Nicole Garcia , Christine Beauvallet , Juliette Bettencourt , Charlotte Bienenfeld , Jean-Claude Bohbote , Pauline Clément , Benoît Dupac , Judith El Zein , Grégory Gaule , Cédric Leffray , Pascal Lifschutz , Luca Malinowski , Alexandra Mercouroff , Thierry Picaud , Francois Raffenaud , Claudette Walker ", Laurent Lafitte ,"코미디 ,드라마 ", 5.8 (1k) , 65% , 2020 ,1시간 38분,"난 분명 살아있는데 내 심장이 뛰질 않는다고? 쉼 없이 인생을 달려온 중년 남자에게 찾아온 미스터리. 영매는 그가 세상으로 나온 출구, 인간의 기원에 답이 있다는데. 그렇다면 그곳은...",세상의 기원
" Xian Lim , Alex Gonzaga , Kylie Verzosa , Gab Lagman ", RC Delos Reyes ,"판타지 ,코미디 ,로맨스 ", 5.7 , 50% , 2020 ,1시간 39분,"With the help of a spunky, lonely-in-love psychic, a deceased wife tries to get her grieving husband to move on. In the process, sparks begin to fly.",Love the Way U Lie
" Yoo Ah-in , You Chea-myung , Moon Seung-a , Lee Ga-eun , Jo Ha-seok , You Seong-joo , Im Kang-sung , Kim Ja-young , Kim Han-na , Seung Hyung-bae , Seo Dong-soo , Hong Seok-bin ", Hong Eui-jeong ,드라마 , 83% , 83% , 2020 ,1시간 39분,"범죄조직의 하청을 받아 근면성실하고 프로페셔널하게 시체 수습을 하며 살아가는 태인과 창복. 어느 날 단골이었던 범죄조직의 실장 용석에게 부탁을 받고 유괴된 11살 아이 초희를 억지로 떠맡게 된다. 그런데 다음 날 다시 아이를 돌려주려던 두 사람 앞에 용석이 시체로 나타나고, 두 사람은 예기치 못한 사건에 휘말리게 되는데…",소리도 없이
" Jackie Chan , Yang Yang , Allen Ai Lun , Jackson Liu , Miya Muqi , Zhu Zhengting , Can Aydin , Sayed Badreya , Wang Yanlong , Temur Mamisashvili , Xu Ruohan , Guo Zhiyan , Eyad Hourani , Yang Jian-Ping , Xueliang Zhu , Tomer Oz , Brahim Achabbakhe , Alberto Bossum , Stanley Tong , Basa ", Stanley Tong ,"코미디 ,스릴러 ,액션 ,범죄 ", 4.7 (5k) , 64% , 2020 ,1시간 47분,"탕환팅이 이끄는 국제 민간 경호업체 뱅가드. 새해 축제가 한창인 런던 한복판에서 VIP 고객이 범죄 조직에 납치되고 뱅가드는 그를 구출하는 데 성공한다. 이에 분노한 범죄 조직은 VIP 고객의 딸을 새로운 타깃으로 삼고, 그들보다 먼저 아프리카에 있는 그녀를 찾아 보호하는 과정에서 뱅가드의 팀원 레이전위가 위험에 처한다. 두바이로 넘어가 구출 작전을 펼치던 뱅가드는 거대한 배후 세력의 음모와 마주하게 되는데…",뱅가드
" Tom Holland , Bill Skarsgård , Riley Keough , Jason Clarke , Sebastian Stan , Haley Bennett , Robert Pattinson , Harry Melling , Eliza Scanlen , Mia Wasikowska , Douglas Hodge , Kristin Griffith , Pokey LaFarge , Donald Ray Pollock , Michael Banks Repeta , Emilio Subercaseaux Campos , David Atkinson , Matthew Vaughn , Billy Joe Bradshaw , Gregory Kelly , David Maldonado , Mark Jeffrey Miller , Ryan Anthony Williams , Wes Robinson , Todd Barnett , Michael Harding , Lucy Faust , Abby Glover , Kelly Lind , Cotton Yancey , Adam Fristoe , Morganna Bridgers , Karson Kern , Ivan Hoey Jr. , Zack Shires , Drew Starkey , Caleb J. Thaggard , Ever Eloise Landrum , Given Sharp , Cory Scott Allen , Emma Coulter , Cody Jones , Madelyn Wall , Jason Collett , Eric Mendenhall , Teddy Cole , Michael H. Cole , Cort Chandler , Bruce Cooper , Daniel James Vaughn , Edward Hall , Jeff McCarthy , Santino Fontana , John Rue , Phillip DeVona , Kevin Waterman , Sarah Hamff , Shannon Frye , James H. Keating , Scott Rapp , Lawrence Hinkle , Kyle Sawyer , Emily Towles , Meagan Bown , Ben Bailey , Beth Scott , Kacey Hayes , Myles Phillips , Rebecca Douglas , Leslie Sides , Katie Flaherty , Matt Powell , Morgan Monroe , Jeff McKinney , Jason Charles Hill , Andrew Young ", Antonio Campos ,"드라마 ,스릴러 ,범죄 ,공포 ", 7.1 (122k) , 80% , 2020 ,2시간 18분,"오하이오주 노컴스티프의 외딴 산간 마을, 이곳엔 악한 자들이 들끓는다. 위험하고 불경스러운 목사, 광기 어린 커플, 부패한 보안관까지. 지루하고 희망 없는 삶에 뒤틀리고 일그러진 인간들. 그들은 약속이나 한 듯 가족을 지키기 위해 모든 걸 각오한 한 젊은 남자 아빈 러셀의 주변으로 모여든다.",악마는 사라지지 않는다
