actors,director,genre,imdb_rating,just_rating,opening_date,runtime,synopsis,title_kor
" Lorynn York , Josh Swickard , Ali Afshar , David Del Rio , Natalia Mann , Gunnar Anderson , Noah James , Raquel Dominguez , Laura James , Emelia Hartford , Julie Lancaster , Daniel Booko , Katelyn Epperly , Riley Dandy , Kane Lim , Elise Berggreen , Tony Panterra , Derrica Barbee , James Markham Hall Jr. , Johnny Afshar , Will Dao ", Shaun Paul Piccinino ,"로맨스 ,코미디 ,드라마 ", 5.5 (2k) , 68% , 2021 ,1시간 30분,1년 전 사랑에 빠진 캘리와 조지프. 서로에 대한 애정이 더욱 굳건해진 두 사람은 가족 사업을 위해 농장을 떠나 샌프란시스코로 향한다. 곧 다가올 결혼식을 기대하면서.,캘리포니아 크리스마스: 도시의 불빛
" Roman Frayssinet , Kyan Khojandi , Djimo , Kev Adams , Bun Hay Mean , Olivier Balestriero , Hakim Jemili , Pierre-Emmanuel Barré , Fadily Camara , Shirley Soignon , Tom Villa , Camille Lellouche , Redouane Bougheraba , Samuel Bambi , Doully , Alban Ivanov , Fary , Ahmed Sylla ", Mehdi Idir ,코미디 , 4.4 , 57% , 2021 ,1시간 4분,"팬데믹 사태 속에서 무대에 굶주렸던 파리의 스탠드업 코미디언들. 배달 라이더로, 마트 판매원으로 일상을 버텨냈던 그들이 마침내 오늘 밤 다시 무대에 선다. 마이크, 그리고 마스크와 함께.",원 나잇 인 파리
 Nicole Byer , Betsy Thomas ,코미디 , 5.6 , 67% , 2021 ,1시간 5분,"미쳐 날뛰는 왕재수 '캐런', 고양이 장례식, 팬데믹 중에 남자와 즐겨 보려던 시도까지. 니콜 바이어의 첫 넷플릭스 코미디 스페셜에서 그녀의 입담이 풀가동된다. 유쾌하고 음란하게!",니콜 바이어: 크고 아름다운 나
" Christina Milian , Jay Pharoah , Sinqua Walls , Christiani Pitts , Karen Obilom , Alexander Hodge , T.J. Power , Sylvaine Strike , Jeryl Prescott , Tymberlee Hill ", Steven K. Tsuchida ,"로맨스 ,코미디 ", 5.7 (5k) , 74% , 2021 ,1시간 41분,"실연에 울고, 막막한 가수 생활에 또 우는 여자. 호화 리조트에서 가수로 일하기 시작한 것까진 좋았는데. 아뿔싸, 이게 웬걸? 전 약혼자가 리조트에 왔다. 다른 여자와의 결혼식을 위해!",사랑의 리조트
" Bartosz Bielenia , Magdalena Popławska , Andrzej Kłak , Małgorzata Hajewska-Krzysztofik , Dobromir Dymecki , Monika Frajczyk , Cezary Kosiński , Juliusz Chrząstowski ", Jakub Piątek ,"스릴러 ,드라마 ", 5.2 (1k) , 58% , 2021 ,1시간 33분,"1999년 12월 31일. 총을 든 청년이 TV 방송국에 난입해 방송 진행자를 인질로 삼는다. 그의 요구는 단 하나. 세상에 고하려는 메시지가 있으니, 나를 생방송에 내보내 줄 것.",프라임 타임
" Molly Nutley , Christopher Wollter , Fredrik Quinones , Rakel Wärmländer , Mattias Nordkvist , Marie Göranzon , Claes Malmberg , Max Ulveson , Emil Almén , Razmus Nyström , Robert Fux , Johanna Wilson , Ann Westin , Fredrik Robertsson , Dominika Peczynski , Louie Nelson Indriana , André Christenson ", Helena Bergström ,"드라마 ,코미디 ", 5.7 (1k) , 66% , 2021 ,1시간 50분,댄서가 꿈인 그녀. 하지만 기회가 찾아오지 않는다. 그런데 청소 일을 하는 드래그 클럽에서 안무가가 그녀의 재능을 알아봐 주다니. 남자라면 얼마나 좋을까. 그러면 무대에 설 수 있을 텐데.,댄싱 퀸스
" Juliana Paes , Leandro Hassum , Elizângela , Marcelo Mansfield  , Marcelo Laham , Luana Martau , Pietra Hassum , Letícia Birkheuer , Carol Portes , Rogerio Morgado , Rafael Portugal ", Ale McHaddo ,"코미디 ,로맨스 ", 5.3 , 65% , 2021 ,1시간 34분,"이혼한 변호사 이바나, 카리스마 넘치는 심장 전문의와 사랑에 빠진다. 그런데 남자의 키가 좀 작다. 주변의 시선과 가족의 반대까지 심한데, 그녀는 편견을 이겨내고 사랑을 지켜낼 수 있을까?",완벽에서 살짝 모자란
" Sarp Akkaya , Aleyna Özgeçen , Ercan Kesal , Ushan Çakır , Songül Öden , Füsun Demirel , Güner Özkul ", Mehmet Ada Öztekin ,드라마 , 7.0 (2k) , 76% , 2021 ,2시간 4분,"딸과 재회하고 비로소 화해하고 싶은 죄수. 교도관과 함께 고향으로 여행을 떠나지만, 비극적인 진실로 인해 여정은 엉망이 되고 만다.",러브 미 인스테드
" Joe Jonas , Kevin Jonas , Nick Jonas , Kenan Thompson , Sophie Turner , Danielle Jonas , Priyanka Chopra Jonas , Pete Davidson , John Legend , Jack Whitehall , Phil McGraw , Lilly Singh , Gabriel Iglesias , Niall Horan , Blake Shelton ", Alex Van Wagner ,코미디 , 5.2 (1k) , 68% , 2021 ,1시간 8분,"주연:조 조나스,닉 조나스,케빈 조나스",조나스 브라더스: 패밀리 디스전
" Adrianna Chlebicka , Mateusz Banasiuk , Mirosław Baka , Anna Smołowik , Krzysztof Czeczot , Wojciech Kalarus , Bartłomiej Kotschedoff , Agnieszka Żulewska , Tomasz Karolak , Jacek Knap , Sebastian Stankiewicz , Jarosław Boberek , Ewa Kolasińska , Izabela Dąbrowska , Grażyna Zielińska , Helena Mazur , Grzegorz Daukszewicz , Iwo Rajski , Izabela Dąbrowska , Marek Braun ", Filip Zylber ,"로맨스 ,코미디 ", 5.1 (2k) , 63% , 2021 ,1시간 42분,"광고 촬영 중에 신비로운 모델을 만난 스타 언론인. 교사가 본업이지만 아빠 빚 때문에 모델 부업을 뛰는 그녀에게 반한다. 덕분에 그간의 인생 선택을 돌아보기까지. 플레이보이로 무책임하게 살아온 삶, 이제 바꿔볼까?",스퀘어드 러브
