actors,director,genre,imdb_rating,just_rating,opening_date,runtime,synopsis,title_kor
"KwakDo-won,KimDae-myung,KimSang-ho,KimHee-won,ShinDong-mi,LeeHan-seo,SonHyun-joo,JoJae-yoon,LeeBong-ryeon,LeeHong-nae",KimBong-han,"코미디,범죄,액션",5.5,68%,2020,1시간46분,"필리핀으로 인생 첫 해외여행을 떠난 대천경찰서 강력반 홍병수 경장. 여행의 단꿈도 잠시, 병수는 범죄 조직의 킬러 패트릭의 작전에 휘말려 살인 용의자가 되고, 누명을 벗기 위해 현지 가이드이자 고향 후배 만철과 함께 수사에 나선다. 하지만, 형사 본능이 끓어오르는 마음과는 달리 병수의 몸과 영어는 따라주지 않고, 필리핀에서 재회한 웬수 같은 죽마고우 용배가 끼어드는 바람에 수사는 자꾸 의도치 않은 방향으로 흘러가는데…",국제수사
"EvanRachelWood,DebraWinger,GinaRodriguez,RichardJenkins,PatriciaBelcher,KimEstes,Da'VineJoyRandolph,RachelRedleaf,RandyRyan,MarkIvanir,BlancaAraceli,DianaMariaRiva,BetsyBaker,MichelleGillette,SusanJamesBerger,AdamBartley,MichaelTwaine,AndrewHawkes,DavidUry,MatthewDowns,SamanthaCardona,ZacharyBarton,JeffreyNicholasBrown,TabithaBrownstone,IanCasselberry,NikkiCastillo,ChallenCates,JasonCatron,MadeleineCoghlan,MicahCohen,MatthewFoster,BenKonigsberg,EthanJoshLee,RebeccaLeeRobertson,ZenaLeigh,BrandonMorales,StevePark,WylieSmall,TrentWalker",MirandaJuly,"범죄,드라마,코미디",6.4 (16k),70%,2020,1시간44분,"사기꾼인 테레사와 로버트는 26년간 외동딸 올드 돌리오를 훈련 시켜 틈만 나면 사기를 치고, 은행 범죄를 저지르고, 훔치도록 했다. 자포자기 식의 성급한 상상 속 강도행각을 하는 동안 그들은 한 낯선 이를 유혹해 다음 사기극에 가담하게 해 그들의 세계가 뒤집히게 된다.",카조니어
"MillieBobbyBrown,HenryCavill,SamClaflin,HelenaBonhamCarter,LouisPartridge,AdeelAkhtar,FionaShaw,FrancesdelaTour,BurnGorman,SusanWokoma,ClaireRushbrook,DavidBamber,HattieMorahan,GabyFrench,PaulCopley,EllieHaddington,AlexKelly,JamesDuke,ConnorCatchpole,SarahFlind,DempseyBovell,NeilBell,SofiaStavrinou,SophieDixon,DavidKirkbride,DelroyAtkinson,MaryRoscoe,AnthonyAje,AnthonyRickman,PhilipScott-Wallace,TuyenDo,EstherColes,OwenAtlas,PierreBergman,GianniCalchetti,PaulParker,HeatherPearse,JaySimpson",HarryBradbeer,"범죄,액션,드라마",6.6 (158k),78%,2020,2시간3분,"열여섯 생일을 맞은 셜록의 여동생, 에놀라 홈즈. 사라진 엄마를 찾아 런던으로 향한다. 명석한 두뇌의 대명사인 오빠까지 따돌리고, 위험에 빠진 귀족 청년의 미스터리와 엮이는데. 사건을 추적하며, 홈즈 가문답게 예리한 추리력이 폭발한다. 미스터리 가득한 이 모험, 무사히 마칠 수 있을까?",에놀라 홈즈
"LilyJames,ArmieHammer,KristinScottThomas,KeeleyHawes,AnnDowd,SamRiley,TomGoodman-Hill,MarkLewisJones,JohnHollingworth,BillPaterson,JacquesBouanich,MarieCollins,JeanDell,SophiePayan,PippaWinslow,LucyRussell,BrunoPaviot,StefoLinard,TomHudson,JeffRawle,AshleighReynolds,BryonyMiller,BenCrompton,JaneLapotaire,PoppyAllen-Quarmby,DavidCann,JuliaDeakin,JasonWilliamson,ColinBennett,JessIrvinRose,ChrisBearne,JohnMacneill,HarryGostelow,RobertIrons,DavidHorovitch,StevenWaters,DavidAppleton,AdamBurton,FionnCox-Davies,SonyaCullingford,KirstyArnold,AlistairGoldsmith,FaniaGrigoriou,JaneLeaney,MirandaLetten,ConnorScott,NicholasBall,EvanClegg,PhillipGranell,DanielHewson,MatthewRedman,GeorgeSleightholme,RomanoVizzani,IanWatson,StuartDavidson,JulianFerro,TobySauerback",BenWheatley,"스릴러,드라마,로맨스",6.1 (39k),69%,2020,2시간3분,"갓 결혼한 젊은 여성이 남편 가문 소유의 저택에 도착하면서 시작되는 이야기. 황량한 해안, 웅장하지만 음산한 분위기가 감도는 저택에서, 그녀는 남편의 전처 레베카의 그림자와 싸우게 된다. 이미 세상을 떠난 비밀의 여인 레베카. 그녀의 흔적은 여전히 저택을 지배하고 있다.",레베카
"TomKenny,BillFagerbakke,RodgerBumpass,Mr.Lawrence,KeanuReeves,ClancyBrown,CarolynLawrence,MattBerry,JillTalley,MaryJoCatlett,Awkwafina,SnoopDogg,DannyTrejo,TiffanyHaddish,ReggieWatts,AntonioRaulCorbo,JackGore,JasonMaybaum,PresleyWilliams,DeeBradleyBaker",TimHill,"판타지,애니메이션,코미디,가족,SF",5.9 (16k),77%,2020,1시간35분,"우리 핑핑이가 어디로 갔을까? 설마, 납치당한 건가? 사랑하는 반려 달팽이를 찾아 떠나는 스폰지밥. 뚱이도 함께 가야지. 비키니 시티를 벗어나 미지의 세계로, 출발이다!",스폰지밥 무비: 핑핑이 구출 대작전
"JessePlemons,JessieBuckley,ToniCollette,DavidThewlis,GuyBoyd,HadleyRobinson,GusBirney,AbbyQuinn,ColbyMinifie,AnthonyGrasso,TeddyColuca,JasonRalph,OliverPlatt,FrederickE.Wodlin,RyanSteele,UnityPhelan,NormanAaronson,AshlynAlessi,MonicaAyres,DjNinoCarta,JulieChateauvert,IraTemchin,AlbertSkowronski,KamranSaliani,DannielleRose,ThomasHatz,BrookeElardo",CharlieKaufman,"드라마,스릴러",6.6 (79k),73%,2020,2시간14분,"연인으로 떠나는 첫 여행, 기대감은커녕 한 가지 생각만 맴돈다. 이제 그만 끝낼까 해. 한 여자가 새로 사귄 남자 친구 제이크의 부모님이 계신 농장으로 향한다. 그리고 어딘가 모르게 기이한 그의 어머니와 아버지를 만나고 눈보라에 발이 묶이면서 의문을 품게 된다. 그와 그녀 자신에 대해. 눈앞에 보이는 현실과 이제까지 알고 있고 이해하고 있다고 생각했던 모든 것에 대해.",이제 그만 끝낼까 해
"CraigFoster,TomFoster","PhilippaEhrlich,JamesReed",다큐멘터리,8.1 (49k),88%,2020,1시간24분,"남아프리카의 바다, 해초 숲을 헤엄치던 영화감독이 특별한 문어를 만난다. 경계에서 교감, 우정으로 발전하는 두 생명의 관계. 세계의 숨은 신비가 모습을 드러낸다.",나의 문어 선생님
"GijsBlom,JamieFlatters,SusanRadder,TheoBarklem-Biggs,JanBijvoet,MartheSchneider,ScottReid,RobertNaylor,TomFelton,CoenBril,RonaldKalter,JustusvonDohnányi,MarkvanEeuwen,HajoBruins,JoepPaddenburg,VincentvandenBerg,SytseFaber,RutgerdeBekker,BiancaKrijgsman,OwenKaat,KoenDeSutter,ArianevanVliet,LewisConway,PitBukowski,RogierSchippers,GordonMorris,LutzSchleisner,JanAndreesen,AdomasStančikas,RichardDillane,LaimutisSėdžius,StephanSchäfer,JakobDiehl,MarcusCoenen,SimonLeePhillips,MathijsScheepers,JosephHazell,DylanSmith,ArnasSliesoraitis,FrederikBott,JanFassbender,BartHarder,KarlHeortweard,MariusMensink,JelmerOuwerkerk,VitoSack,IljaRoßbander,MaximilianBeck,MaximilianJaenisch,AstridvanEck,VincentLinthorst,DianaValiušaitienė,MargaritaŽiemelytė",MatthijsvanHeijningenJr.,"드라마,전쟁,MadeinEurope",7.1 (25k),80%,2020,2시간4분,"세 젊은이가 2차 세계 대전의 포화 속으로 들어간다. 연합군의 글라이더 조종사, 네덜란드 출신의 독일군 그리고 레지스탕스로. 방법은 달랐지만, 이들이 원한 건 오직 자유, 그 하나였다.",더 포가튼 배틀
"Anna-MariaSieklucka,MicheleMorrone,BronisławWrocławski,OtarSaralidze,MagdalenaLamparska,NataszaUrbańska,GrażynaSzapołowska,TomaszStockinger,GianniParisi,MateuszŁasowski,AgnieszkaWarchulska,PrzemysławSadowski,MichałMikołajczak,AndreaBatti,MateuszGrydlik,NataliaJanoszek,TomaszMandes,BlankaLipińska,EwaLewandowska,BartekCierlica","TomaszMandes,BarbaraBialowas","드라마,로맨스,MadeinEurope",3.4 (74k),60%,2020,1시간54분,직장에서 성공 가도를 달리지만 연인과의 관계는 열정을 잃은 지 오래인 여자. 생일을 맞아 떠난 여행에서 마피아 보스에게 납치당하며 아찔한 나날이 시작된다. 마음을 얻기 위해 365일 동안 뭐든 하겠다는 이 남자를 믿어도 될까.,365일
"WagnerMoura,AnadeArmas,GarretDillahunt,WillDalton,BradleyWhitford,BríanF.O'Byrne,ClemensSchick,ClarisseAbujamra,PedroHossi,SahajakBoonthanakit,VithayaPansringarm,EduardoMello,JoãoBarreto,OsamabinLaden",GregBarker,"로맨스,드라마,역사,다큐멘터리",6.2 (9k),71%,2020,1시간58분,미국의 침공으로 혼란에 빠진 이라크. 분쟁 지역에서 잔뼈 굵은 남자가 위험한 임무를 짊어진다. UN 특사 세르지우 비에이라 지멜루(와그너 모라)가 바그다드에 도착한다.,세르지우
